date,value,sourceName
2022-12-02 02:37:00 +0100,65,Alpha Watch
2022-12-02 02:38:00 +0100,65,Alpha Watch
2022-12-02 02:39:00 +0100,66,Alpha Watch
2022-12-02 02:40:00 +0100,66,Alpha Watch
2022-12-02 02:41:00 +0100,66,Alpha Watch
2022-12-02 02:42:00 +0100,67,Alpha Watch
2022-12-02 02:44:00 +0100,66,Alpha Watch
2022-12-02 02:45:00 +0100,67,Alpha Watch
2022-12-02 02:46:00 +0100,67,Alpha Watch
2022-12-02 02:47:00 +0100,67,Alpha Watch
2022-12-02 02:48:00 +0100,68,Alpha Watch
2022-12-02 02:49:00 +0100,68,Alpha Watch
2022-12-02 02:50:00 +0100,68,Alpha Watch
2022-12-02 02:51:00 +0100,69,Alpha Watch
2022-12-02 02:52:00 +0100,70,Alpha Watch
2022-12-02 02:54:00 +0100,69,Alpha Watch
2022-12-02 02:55:00 +0100,71,Alpha Watch
2022-12-02 02:56:00 +0100,69,Alpha Watch
2022-12-02 02:57:00 +0100,70,Alpha Watch
2022-12-02 02:58:00 +0100,72,Alpha Watch
2022-12-02 02:59:00 +0100,74,Alpha Watch
2022-12-02 03:00:00 +0100,76,Alpha Watch
2022-12-02 03:01:00 +0100,76,Alpha Watch
2022-12-02 03:02:00 +0100,70,Alpha Watch
2022-12-02 03:04:00 +0100,70,Alpha Watch
2022-12-02 03:05:00 +0100,74,Alpha Watch
2022-12-02 03:06:00 +0100,72,Alpha Watch
2022-12-02 03:07:00 +0100,73,Alpha Watch
2022-12-02 03:08:00 +0100,73,Alpha Watch
2022-12-02 03:09:00 +0100,74,Alpha Watch
2022-12-02 03:10:00 +0100,73,Alpha Watch
2022-12-02 03:11:00 +0100,71,Alpha Watch
2022-12-02 03:12:00 +0100,77,Alpha Watch
2022-12-02 03:14:00 +0100,69,Alpha Watch
2022-12-02 03:15:00 +0100,68,Alpha Watch
2022-12-02 03:16:00 +0100,68,Alpha Watch
2022-12-02 03:17:00 +0100,71,Alpha Watch
2022-12-02 03:18:00 +0100,72,Alpha Watch
2022-12-02 03:19:00 +0100,71,Alpha Watch
2022-12-02 03:20:00 +0100,82,Alpha Watch
2022-12-02 03:21:00 +0100,72,Alpha Watch
2022-12-02 03:22:00 +0100,72,Alpha Watch
2022-12-02 03:24:00 +0100,70,Alpha Watch
2022-12-02 03:25:00 +0100,70,Alpha Watch
2022-12-02 03:26:00 +0100,78,Alpha Watch
2022-12-02 03:27:00 +0100,70,Alpha Watch
2022-12-02 03:28:00 +0100,72,Alpha Watch
2022-12-02 03:29:00 +0100,70,Alpha Watch
2022-12-02 03:30:00 +0100,69,Alpha Watch
2022-12-02 03:31:00 +0100,70,Alpha Watch
2022-12-02 03:32:00 +0100,70,Alpha Watch
2022-12-02 03:34:00 +0100,73,Alpha Watch
2022-12-02 03:35:00 +0100,72,Alpha Watch
2022-12-02 03:36:00 +0100,69,Alpha Watch
2022-12-02 03:37:00 +0100,67,Alpha Watch
2022-12-02 03:38:00 +0100,68,Alpha Watch
2022-12-02 03:39:00 +0100,69,Alpha Watch
2022-12-02 03:40:00 +0100,72,Alpha Watch
2022-12-02 03:41:00 +0100,68,Alpha Watch
2022-12-02 03:42:00 +0100,68,Alpha Watch
2022-12-02 03:44:00 +0100,69,Alpha Watch
2022-12-02 03:45:00 +0100,72,Alpha Watch
2022-12-02 03:46:00 +0100,71,Alpha Watch
2022-12-02 03:47:00 +0100,70,Alpha Watch
